scenarioId,scenarioName,spendType,processPhase,rigidDays,flexibleDays,rigidTotalPLN,flexibleTotalPLN,deltaProcessPLN,deltaDelayPLN,deltaLifecyclePLN,deltaPLN,delayShareOfDeltaPercent,deltaPercentOfAdaptiveTotal,evidenceLowDeltaPLN,evidenceHighDeltaPLN,structuralLowDeltaPLN,structuralHighDeltaPLN,lowDeltaPLN,highDeltaPLN,crossesZero,widthDrivenBy,breakEvenDailyInactionPLN,breakEvenStatus
"fleet","Vehicle Fleet Procurement","neutral","neutral",44,24,291033,186952,-2454,100000,6535,104081,96.1,55.7,46046,239534,18718,526945,-39318,662398,true,"structural",-204,"formal_costlier_at_zero_delay"
"erp","IT/ERP Contract","neutral","neutral",51,28,482600,281901,8735,188600,3364,200699,94,71.2,158635,305836,40324,997600,-1741,1102736,true,"structural",-526,"formal_costlier_at_zero_delay"
"logistics","Logistics Services","neutral","neutral",44,24,211459,158730,-8913,36000,25642,52729,68.3,33.2,-55313,292755,19943,207015,-88099,447041,true,"evidence",-836,"formal_costlier_at_zero_delay"
"production","Production Materials","neutral","neutral",62,34,3288104,1881959,-4961,1400000,11106,1406145,99.6,74.7,1146639,1980229,243993,7293296,-15513,7867381,true,"structural",-219,"formal_costlier_at_zero_delay"
"pipe_vs_field","Tunnel vs Field","neutral","neutral",87,71,972027,802544,-3338,160000,12821,169483,94.4,21.1,94562,340634,33985,844982,-40936,1016133,true,"structural",-593,"formal_costlier_at_zero_delay"
"catalog","Catalog Order","neutral","neutral",2,2,1703,1703,0,0,0,0,0,0,-650,1498,0,0,-650,1498,true,"evidence","not-applicable","no_day_difference"
"mrp","MRP Order","neutral","neutral",1,1,13424,13395,0,0,30,30,0,0.2,-3250,7531,30,30,-3250,7531,true,"evidence","not-applicable","no_day_difference"
"capex_investment","CAPEX Investment","neutral","neutral",120,84,2179242,1564577,-28424,493200,149889,614665,80.2,39.3,261176,1208036,203342,2690538,-150147,3283909,true,"structural",-3374,"formal_costlier_at_zero_delay"
"governance_control","Stable purchase — control scenario","indirect","downstream",14,14,53278,59843,-6750,0,185,-6565,0,-11,-42625,70502,-6565,-6565,-42625,70502,true,"evidence","not-applicable","no_day_difference"
"discovery_rd","Discovery purchase — requirement unknown","neutral","neutral",34,47,259913,356573,-35844,-71500,10684,-96660,74,-27.1,-142204,53133,-403177,-31455,-448721,118337,true,"structural",-1935,"adaptive_costlier_at_zero_delay"
