event_id,org_id,exposure_reference_at,policy_version,gates,forced_sequence_pairs,escalation_depth,mandatory_artifacts,team_autonomy,cpv_division,estimated_value_pln,complexity,urgency_declared_days,year,cycle_days,effort_hours,valid_bids,amendments
SYN-A-001,ORG-A,2024-02-05,v1,6,5,4,9,0,30,850000,3,90,2024,74,182,3,1
SYN-A-002,ORG-A,2024-03-11,v1,6,4,4,8,0,30,1200000,4,60,2024,81,201,2,2
SYN-A-003,ORG-A,2024-04-08,v1,5,4,3,8,1,45,420000,2,120,2024,63,148,4,0
SYN-A-004,ORG-A,2024-05-20,v1,7,6,4,10,0,72,2400000,5,90,2024,96,244,2,2
SYN-A-005,ORG-A,2024-06-17,v1,6,5,4,9,0,30,780000,3,75,2024,71,175,3,1
SYN-A-006,ORG-A,2024-07-15,v1,5,3,3,7,1,45,310000,2,45,2024,58,131,5,0
SYN-A-007,ORG-A,2024-08-12,v1,6,5,4,9,0,50,1650000,4,90,2024,79,196,3,1
SYN-A-008,ORG-A,2024-09-09,v1,7,5,4,10,0,72,3100000,5,150,2024,92,238,2,3
SYN-A-009,ORG-A,2024-10-14,v1,5,4,3,8,1,30,540000,3,60,2024,66,,4,1
SYN-A-010,ORG-A,2024-11-18,v1,6,4,4,9,0,45,960000,3,90,2024,73,179,3,1
SYN-A-011,ORG-A,2025-02-10,v2,3,2,2,5,2,30,880000,3,90,2025,54,121,4,1
SYN-A-012,ORG-A,2025-03-17,v2,3,1,2,5,2,30,1150000,4,60,2025,57,133,3,1
SYN-A-013,ORG-A,2025-04-14,v2,2,1,2,4,2,45,460000,2,120,2025,46,102,5,0
SYN-A-014,ORG-A,2025-05-19,v2,4,2,3,6,1,72,2500000,5,90,2025,68,164,3,2
SYN-A-015,ORG-A,2025-06-16,v2,3,2,2,5,2,30,810000,3,75,2025,52,118,4,0
SYN-A-016,ORG-A,2025-07-14,v2,2,1,2,4,2,45,295000,2,45,2025,43,,6,0
SYN-A-017,ORG-A,2025-09-08,v2,3,2,2,5,2,50,1700000,4,90,2025,56,129,4,1
SYN-A-018,ORG-A,2025-10-13,v2,4,3,3,6,1,72,3250000,5,150,2025,66,161,2,2
SYN-B-001,ORG-B,2024-02-19,w1,4,3,3,6,1,30,620000,3,90,2024,64,,4,1
SYN-B-002,ORG-B,2024-04-15,w1,4,3,3,7,1,45,1350000,4,60,2024,69,158,3,1
SYN-B-003,ORG-B,2024-06-10,w1,5,4,3,7,1,72,2900000,5,120,2024,78,187,2,2
SYN-B-004,ORG-B,2024-08-19,w1,3,2,2,5,2,30,340000,2,45,2024,55,124,5,0
SYN-B-005,ORG-B,2024-10-21,w1,4,3,3,6,1,45,890000,3,90,2024,65,151,4,1
SYN-B-006,ORG-B,2025-02-17,w1,4,3,3,6,1,30,650000,3,90,2025,63,146,4,1
SYN-B-007,ORG-B,2025-04-14,w1,4,3,3,7,1,45,1400000,4,60,2025,70,,3,2
SYN-B-008,ORG-B,2025-06-16,w1,5,4,3,7,1,72,3050000,5,120,2025,80,191,2,2
SYN-B-009,ORG-B,2025-08-18,w1,3,2,2,5,2,30,155000,1,30,2025,41,96,0,0
SYN-B-010,ORG-B,2025-10-20,w1,4,3,3,6,1,45,920000,3,90,2025,66,154,4,1
SYN-B-011,ORG-B,2025-11-17,w1,6,6,4,10,0,72,4100000,5,180,2025,214,402,1,4
